"collected_at","product_key","segment","offer_key","store","brand","product","color_raw","color_normalized","package_kg","package_group","regular_price","promo_price","analysis_price","unit_price_per_kg","currency","in_stock","sku","article","variant_id","url"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Светло-зеленая","Светло-зелёный","0.9","small","39",,"39","43.3333","PRB","True","","","11212","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11212"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Светло-серая","Светло-серый","0.9","small","39",,"39","43.3333","PRB","True","","","11217","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11217"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Серая","Серый","0.9","small","39",,"39","43.3333","PRB","True","","","11221","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11221"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Синяя","Синий","0.9","small","39",,"39","43.3333","PRB","True","","","11231","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11231"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Темная-серая","Темно-серый","0.9","small","39",,"39","43.3333","PRB","True","","","11299","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11299"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Черная","Черный","0.9","small","39",,"39","43.3333","PRB","True","","","11320","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11320"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Ярко-голубая","Ярко-голубой","0.9","small","39",,"39","43.3333","PRB","True","","","11359","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11359"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Бежевый","Бежевый","2.8","large","126",,"126","45","PRB","True","УТ-00000810","66860","35643","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Белый","Белый","2.8","large","132",,"132","47.1429","PRB","True","УТ-00000447","66759","35645","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Вишневый","Вишневый","2.8","large","132",,"132","47.1429","PRB","True","УТ-00000449","66853","35649","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Голубой","Голубой","2.8","large","135",,"135","48.2143","PRB","True","УТ-00000450","66765","35647","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Желто–коричневый","Желто-коричневый","2.8","large","129",,"129","46.0714","PRB","True","УТ-00000454","66867","35653","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Желтый","Желтый","2.8","large","114",,"114","40.7143","PRB","True","УТ-00000453","66770","35651","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Зелёный","Зелёный","2.8","large","135",,"135","48.2143","PRB","True","УТ-00000458","66775","35655","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Коричневый","Коричневый","2.8","large","128",,"128","45.7143","PRB","True","УТ-00000462","66780","35657","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Красно–коричневый","Красно-коричневый","2.8","large","128",,"128","45.7143","PRB","False","УТ-00000467","66871","35673","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Красный","Красный","2.8","large","139",,"139","49.6429","PRB","True","УТ-00000815","66785","35671","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Светло–зелёный","Светло-зелёный","2.8","large","133",,"133","47.5","PRB","True","УТ-00000464","66795","35659","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Светло–серый","Светло-серый","2.8","large","133",,"133","47.5","PRB","True","УТ-00000469","66844","35661","https://mirremonta.md/catalog/35644"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","mirremonta_dekart","mirremonta.md","DekArt","Эмаль ПФ-115","Серый","Серый","2.8","large","129",,"129","46.0714","PRB","True","УТ-00000471","66801","35665","https://mirremonta.md/catalog/35644"
